munCode,munName,capital,provinceCode,provinceName
01001,Alegría-Dulantzi,Alegría-Dulantzi,01,Araba/Álava
01002,Amurrio,Amurrio,01,Araba/Álava
01003,Aramaio,Ibarra,01,Araba/Álava
01004,Artziniega,Artziniega,01,Araba/Álava
01006,Armiñón,Armiñón,01,Araba/Álava
01008,Arrazua-Ubarrundia,Durana,01,Araba/Álava
01009,Asparrena,Araia,01,Araba/Álava
01010,Ayala/Aiara,Arespalditza/Respaldiza,01,Araba/Álava
01011,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,01,Araba/Álava
01013,Barrundia,Ozaeta,01,Araba/Álava
01014,Berantevilla,Berantevilla,01,Araba/Álava
01016,Bernedo,Bernedo,01,Araba/Álava
01017,Campezo/Kanpezu,Santa Cruz de Campezo/Santikurutze Kanpezu,01,Araba/Álava
01018,Zigoitia,Gopegi,01,Araba/Álava
01019,Kripan,Kripan,01,Araba/Álava
01020,Kuartango,Zuhatzu-Kuartango,01,Araba/Álava
01021,Elburgo/Burgelu,Elburgo/Burgelu,01,Araba/Álava
01022,Elciego,Elciego,01,Araba/Álava
01023,Elvillar/Bilar,Elvillar/Bilar,01,Araba/Álava
01027,Iruraiz-Gauna,Azilu,01,Araba/Álava
01028,Labastida/Bastida,Labastida/Bastida,01,Araba/Álava
01030,Lagrán,Lagran,01,Araba/Álava
01031,Laguardia,Laguardia/Biasteri,01,Araba/Álava
01032,Lanciego/Lantziego,Lanciego/Lantziego,01,Araba/Álava
01033,Lapuebla de Labarca,Puebla de Labarca, La/Lapuebla Labarka,01,Araba/Álava
01034,Leza,Leza,01,Araba/Álava
01036,Laudio/Llodio,Laudio/Llodio,01,Araba/Álava
01037,Arraia-Maeztu,Maeztu/Maestu,01,Araba/Álava
01039,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,01,Araba/Álava
01041,Navaridas,Navaridas,01,Araba/Álava
01042,Okondo,Eskauriatza,01,Araba/Álava
01043,Oyón-Oion,Oion,01,Araba/Álava
01044,Peñacerrada-Urizaharra,Peñacerrada/Urizaharra,01,Araba/Álava
01046,Erriberagoitia/Ribera Alta,Pobes,01,Araba/Álava
01047,Ribera Baja/Erribera Beitia,Rivabellosa,01,Araba/Álava
01049,Añana,Salinas de Añana/Gesaltza Añana,01,Araba/Álava
01051,Salvatierra/Agurain,Salvatierra/Agurain,01,Araba/Álava
01052,Samaniego,Samaniego,01,Araba/Álava
01053,San Millán/Donemiliaga,Ordoñana/Erdoñana,01,Araba/Álava
01054,Urkabustaiz,Izarra,01,Araba/Álava
01055,Valdegovía/Gaubea,Villanueva de Valdegovía,01,Araba/Álava
01056,Harana/Valle de Arana,Alda,01,Araba/Álava
01057,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,01,Araba/Álava
01058,Legutio,Legutio,01,Araba/Álava
01059,Vitoria-Gasteiz,Vitoria-Gasteiz,01,Araba/Álava
01060,Yécora/Iekora,Yécora/Iekora,01,Araba/Álava
01061,Zalduondo,Zalduondo,01,Araba/Álava
01062,Zambrana,Zambrana,01,Araba/Álava
01063,Zuia,Murgia,01,Araba/Álava
